Metric,Value
Total_simulation_steps,1440
Day_land_coverage_events,33101
Day_ocean_coverage_events,113726
Total_coverage_events,146827
Transmission_steps,1357
Transmission_time_seconds,81420
Transmission_time_hours,22.616666666666667
Data_transmitted_TB,16.336484779302495
Data_remaining_TB,28.663515220697505
Transmission_completion_percent,36.3032995095611
Average_elevation_deg,60.6580825644511
Min_elevation_deg,5.455815872303948
Max_elevation_deg,89.84103878489161
Average_transmission_rate_Mbps,1605.156942206089
Min_transmission_rate_Mbps,975.2016634839391
Max_transmission_rate_Mbps,1938.1859720158218
Average_potential_pairs_per_step,182.96666666666667
Max_potential_pairs_single_step,400
Steps_with_transmission_capability,1357
Transmission_selection_efficiency_percent,100.0
