Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
0,SAT_179,"Cape Town, South Africa",15.21,164.1,1494.6,515.1,4
0,SAT_136,"Accra, Ghana",12.33,131.9,1647.5,515.1,4
0,SAT_149,"Mwulire, Rwanda",11.25,119.9,1718.8,515.1,4
0,SAT_170,"Pretoria, South Africa",9.4,99.2,1860.9,515.1,4
1,SAT_179,"Cape Town, South Africa",23.56,257.4,1110.6,794.5,5
1,SAT_149,"Mwulire, Rwanda",17.94,194.6,1335.4,794.5,5
1,SAT_171,"Pretoria, South Africa",15.48,167.2,1475.2,794.5,5
1,SAT_101,"Guildford Pole, UK",9.8,103.7,1834.6,794.5,5
1,SAT_133,"Accra, Ghana",6.94,71.7,2041.8,794.5,5
2,SAT_178,"Cape Town, South Africa",36.68,404.0,724.0,1145.0,4
2,SAT_149,"Mwulire, Rwanda",27.69,303.6,952.4,1145.0,4
2,SAT_170,"Pretoria, South Africa",23.79,260.0,1097.1,1145.0,4
2,SAT_101,"Guildford Pole, UK",16.4,177.4,1427.4,1145.0,4
3,SAT_177,"Cape Town, South Africa",59.26,656.4,339.7,1970.5,6
3,SAT_148,"Mwulire, Rwanda",43.66,482.1,570.4,1970.5,6
3,SAT_169,"Pretoria, South Africa",36.79,405.3,717.7,1970.5,6
3,SAT_101,"Guildford Pole, UK",25.94,284.1,1021.8,1970.5,6
3,SAT_023,"Cordoba, Argentina",7.32,76.0,2028.8,1970.5,6
3,SAT_113,"Dublin, Ireland",6.49,66.7,2092.4,1970.5,6
4,SAT_177,"Cape Town, South Africa",83.04,922.2,70.9,3165.5,6
4,SAT_148,"Mwulire, Rwanda",71.5,793.2,189.6,3165.5,6
4,SAT_168,"Pretoria, South Africa",58.91,652.6,342.1,3165.5,6
4,SAT_101,"Guildford Pole, UK",41.49,457.9,620.0,3165.5,6
4,SAT_109,"Dublin, Ireland",18.06,195.9,1344.0,3165.5,6
4,SAT_023,"Cordoba, Argentina",13.38,143.6,1602.5,3165.5,6
5,SAT_168,"Pretoria, South Africa",85.0,944.1,50.5,4031.7,8
5,SAT_148,"Mwulire, Rwanda",70.26,779.4,203.3,4031.7,8
5,SAT_102,"Guildford Pole, UK",69.53,771.2,214.7,4031.7,8
5,SAT_176,"Cape Town, South Africa",52.55,581.5,434.4,4031.7,8
5,SAT_106,"Dublin, Ireland",36.7,404.3,721.9,4031.7,8
5,SAT_095,"Dundee, Scotland",23.72,259.2,1105.2,4031.7,8
5,SAT_024,"Cordoba, Argentina",21.9,238.9,1175.2,4031.7,8
5,SAT_128,"Zallaq, Bahrain",5.28,53.2,2189.4,4031.7,8
6,SAT_102,"Guildford Pole, UK",71.22,790.1,196.0,4205.6,9
6,SAT_105,"Dublin, Ireland",64.57,715.8,272.6,4205.6,9
6,SAT_100,"Dundee, Scotland",61.41,680.5,311.9,4205.6,9
6,SAT_167,"Pretoria, South Africa",52.79,584.2,427.8,4205.6,9
6,SAT_148,"Mwulire, Rwanda",42.95,474.1,584.3,4205.6,9
6,SAT_024,"Cordoba, Argentina",35.66,392.7,747.2,4205.6,9
6,SAT_176,"Cape Town, South Africa",32.84,361.1,822.9,4205.6,9
6,SAT_129,"Zallaq, Bahrain",10.08,106.7,1806.2,4205.6,9
6,SAT_012,"Ushuaia, Argentina",9.51,100.5,1879.1,4205.6,9
7,SAT_100,"Dundee, Scotland",79.85,886.6,103.8,3768.2,10
7,SAT_105,"Dublin, Ireland",76.59,850.2,137.8,3768.2,10
7,SAT_025,"Cordoba, Argentina",60.14,666.3,327.5,3768.2,10
7,SAT_167,"Pretoria, South Africa",33.2,365.1,807.4,3768.2,10
7,SAT_148,"Mwulire, Rwanda",27.27,298.8,967.6,3768.2,10
7,SAT_175,"Cape Town, South Africa",21.35,232.7,1207.2,3768.2,10
7,SAT_129,"Zallaq, Bahrain",16.28,176.1,1424.9,3768.2,10
7,SAT_012,"Ushuaia, Argentina",16.23,175.5,1457.7,3768.2,10
7,SAT_068,"Pendergrass, USA",5.83,59.3,2144.8,3768.2,10
7,SAT_072,"Columbus, USA",5.69,57.7,2160.9,3768.2,10
8,SAT_025,"Cordoba, Argentina",78.99,877.0,112.5,3432.9,10
8,SAT_106,"Stockholm, Sweden",58.8,651.3,345.8,3432.9,10
8,SAT_100,"Dundee, Scotland",47.95,530.0,506.6,3432.9,10
8,SAT_012,"Ushuaia, Argentina",25.96,284.2,1038.2,3432.9,10
8,SAT_130,"Zallaq, Bahrain",25.12,274.9,1041.8,3432.9,10
8,SAT_167,"Pretoria, South Africa",21.5,234.5,1192.9,3432.9,10
8,SAT_148,"Mwulire, Rwanda",17.68,191.7,1351.1,3432.9,10
8,SAT_175,"Cape Town, South Africa",13.72,147.5,1594.4,3432.9,10
8,SAT_068,"Pendergrass, USA",11.48,122.4,1713.8,3432.9,10
8,SAT_071,"Columbus, USA",11.21,119.5,1733.8,3432.9,10
9,SAT_106,"Stockholm, Sweden",84.28,936.1,58.1,4160.2,12
9,SAT_025,"Cordoba, Argentina",45.93,507.4,540.0,4160.2,12
9,SAT_013,"Ushuaia, Argentina",41.91,462.6,622.1,4160.2,12
9,SAT_130,"Zallaq, Bahrain",39.32,433.6,657.6,4160.2,12
9,SAT_102,"Öjebyn, Sweden",35.76,393.8,748.4,4160.2,12
9,SAT_016,"Punta Arenas, Chile",30.64,336.6,887.8,4160.2,12
9,SAT_100,"Dundee, Scotland",29.58,324.7,913.3,4160.2,12
9,SAT_068,"Pendergrass, USA",19.19,208.5,1284.8,4160.2,12
9,SAT_071,"Columbus, USA",18.81,204.4,1304.4,4160.2,12
9,SAT_166,"Pretoria, South Africa",13.91,149.5,1572.6,4160.2,12
9,SAT_148,"Mwulire, Rwanda",11.08,118.0,1734.8,4160.2,12
9,SAT_174,"Cape Town, South Africa",8.13,85.0,1980.6,4160.2,12
10,SAT_105,"Öjebyn, Sweden",73.29,813.2,174.0,4828.3,12
10,SAT_013,"Ushuaia, Argentina",71.05,788.2,201.0,4828.3,12
10,SAT_130,"Zallaq, Bahrain",63.52,704.0,281.8,4828.3,12
10,SAT_015,"Punta Arenas, Chile",54.7,605.5,407.0,4828.3,12
10,SAT_108,"Stockholm, Sweden",45.35,501.0,550.8,4828.3,12
10,SAT_067,"Pendergrass, USA",31.12,341.9,856.5,4828.3,12
10,SAT_071,"Columbus, USA",30.46,334.6,877.4,4828.3,12
10,SAT_025,"Cordoba, Argentina",27.63,303.0,971.4,4828.3,12
10,SAT_097,"Dundee, Scotland",15.86,171.3,1470.1,4828.3,12
10,SAT_140,"Dubai, UAE",10.97,116.7,1741.4,4828.3,12
10,SAT_166,"Pretoria, South Africa",8.3,86.9,1956.2,4828.3,12
10,SAT_148,"Mwulire, Rwanda",6.08,62.0,2118.5,4828.3,12
11,SAT_014,"Punta Arenas, Chile",82.76,919.1,74.7,5809.8,11
11,SAT_105,"Sodankylä, Finland",81.31,902.9,88.8,5809.8,11
11,SAT_131,"Zallaq, Bahrain",77.35,858.6,128.0,5809.8,11
11,SAT_013,"Ushuaia, Argentina",68.89,764.0,226.1,5809.8,11
11,SAT_067,"Pendergrass, USA",52.9,585.3,423.2,5809.8,11
11,SAT_070,"Columbus, USA",50.73,561.1,456.7,5809.8,11
11,SAT_134,"Dubai, UAE",42.99,474.6,584.3,5809.8,11
11,SAT_100,"Öjebyn, Sweden",27.72,303.9,972.3,5809.8,11
11,SAT_112,"Stockholm, Sweden",18.56,201.6,1326.1,5809.8,11
11,SAT_026,"Cordoba, Argentina",17.11,185.4,1398.8,5809.8,11
11,SAT_093,"Dundee, Scotland",5.29,53.2,2216.9,5809.8,11
12,SAT_067,"Pendergrass, USA",87.1,967.5,29.1,4922.2,8
12,SAT_132,"Dubai, UAE",85.68,951.7,43.1,4922.2,8
12,SAT_070,"Columbus, USA",85.59,950.8,44.3,4922.2,8
12,SAT_105,"Sodankylä, Finland",61.37,680.0,313.8,4922.2,8
12,SAT_014,"Punta Arenas, Chile",49.28,544.9,491.4,4922.2,8
12,SAT_011,"Ushuaia, Argentina",35.52,391.1,765.6,4922.2,8
12,SAT_127,"Zallaq, Bahrain",30.0,329.4,888.2,4922.2,8
12,SAT_026,"Cordoba, Argentina",10.08,106.8,1827.1,4922.2,8
13,SAT_132,"Dubai, UAE",54.24,600.3,402.5,2842.4,7
13,SAT_070,"Columbus, USA",53.92,596.8,409.5,2842.4,7
13,SAT_067,"Pendergrass, USA",51.41,568.7,445.5,2842.4,7
13,SAT_105,"Sodankylä, Finland",37.2,409.9,716.1,2842.4,7
13,SAT_015,"Punta Arenas, Chile",30.05,330.0,909.1,2842.4,7
13,SAT_010,"Ushuaia, Argentina",20.86,227.2,1244.0,2842.4,7
13,SAT_123,"Zallaq, Bahrain",10.33,109.5,1797.0,2842.4,7
14,SAT_132,"Dubai, UAE",33.61,369.8,788.1,1697.2,7
14,SAT_070,"Columbus, USA",31.81,349.6,840.0,1697.2,7
14,SAT_066,"Pendergrass, USA",30.53,335.3,873.1,1697.2,7
