Metric,Value
Total_simulation_steps,1440
Day_land_coverage_events,33199
Day_ocean_coverage_events,113746
Total_coverage_events,146945
Transmission_steps,1401
Transmission_time_seconds,84060
Transmission_time_hours,23.35
Data_transmitted_TB,12.44606769006102
Data_remaining_TB,32.55393230993898
Transmission_completion_percent,27.6579282001356
Average_elevation_deg,24.481205173893287
Min_elevation_deg,7.586214255649248
Max_elevation_deg,26.193012248459723
Average_transmission_rate_Mbps,1184.4937130679032
Min_transmission_rate_Mbps,200.6089478289856
Max_transmission_rate_Mbps,1284.1813015279488
Average_potential_pairs_per_step,208.3034722222222
Max_potential_pairs_single_step,600
Steps_with_transmission_capability,1401
Transmission_selection_efficiency_percent,100.0
