Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
0,SAT_179,"Cape Town, South Africa",15.21,1086.5,1494.6,4201.7,4
0,SAT_136,"Accra, Ghana",12.33,1053.7,1647.5,4201.7,4
0,SAT_149,"Mwulire, Rwanda",11.25,1041.3,1718.8,4201.7,4
0,SAT_170,"Pretoria, South Africa",9.4,1020.2,1860.9,4201.7,4
1,SAT_179,"Cape Town, South Africa",23.56,1181.8,1110.6,5405.9,5
1,SAT_149,"Mwulire, Rwanda",17.94,1117.7,1335.4,5405.9,5
1,SAT_171,"Pretoria, South Africa",15.48,1089.6,1475.2,5405.9,5
1,SAT_101,"Guildford Pole, UK",9.8,1024.8,1834.6,5405.9,5
1,SAT_133,"Accra, Ghana",6.94,992.1,2041.8,5405.9,5
2,SAT_178,"Cape Town, South Africa",36.68,1331.5,724.0,4844.9,4
2,SAT_149,"Mwulire, Rwanda",27.69,1228.9,952.4,4844.9,4
2,SAT_170,"Pretoria, South Africa",23.79,1184.4,1097.1,4844.9,4
2,SAT_101,"Guildford Pole, UK",16.4,1100.1,1427.4,4844.9,4
3,SAT_177,"Cape Town, South Africa",59.26,1589.2,339.7,7525.7,6
3,SAT_148,"Mwulire, Rwanda",43.66,1411.2,570.4,7525.7,6
3,SAT_169,"Pretoria, South Africa",36.79,1332.8,717.7,7525.7,6
3,SAT_101,"Guildford Pole, UK",25.94,1209.0,1021.8,7525.7,6
3,SAT_023,"Cordoba, Argentina",7.32,996.5,2028.8,7525.7,6
3,SAT_113,"Dublin, Ireland",6.49,987.0,2092.4,7525.7,6
4,SAT_177,"Cape Town, South Africa",83.04,1860.6,70.9,8745.8,6
4,SAT_148,"Mwulire, Rwanda",71.5,1728.9,189.6,8745.8,6
4,SAT_168,"Pretoria, South Africa",58.91,1585.2,342.1,8745.8,6
4,SAT_101,"Guildford Pole, UK",41.49,1386.5,620.0,8745.8,6
4,SAT_109,"Dublin, Ireland",18.06,1119.0,1344.0,8745.8,6
4,SAT_023,"Cordoba, Argentina",13.38,1065.6,1602.5,8745.8,6
5,SAT_168,"Pretoria, South Africa",85.0,1882.9,50.5,11468.2,8
5,SAT_148,"Mwulire, Rwanda",70.26,1714.7,203.3,11468.2,8
5,SAT_102,"Guildford Pole, UK",69.53,1706.4,214.7,11468.2,8
5,SAT_176,"Cape Town, South Africa",52.55,1512.7,434.4,11468.2,8
5,SAT_106,"Dublin, Ireland",36.7,1331.8,721.9,11468.2,8
5,SAT_095,"Dundee, Scotland",23.72,1183.6,1105.2,11468.2,8
5,SAT_024,"Cordoba, Argentina",21.9,1162.9,1175.2,11468.2,8
5,SAT_128,"Zallaq, Bahrain",5.28,973.2,2189.4,11468.2,8
6,SAT_102,"Guildford Pole, UK",71.22,1725.7,196.0,12564.7,9
6,SAT_105,"Dublin, Ireland",64.57,1649.8,272.6,12564.7,9
6,SAT_100,"Dundee, Scotland",61.41,1613.7,311.9,12564.7,9
6,SAT_167,"Pretoria, South Africa",52.79,1515.4,427.8,12564.7,9
6,SAT_148,"Mwulire, Rwanda",42.95,1403.0,584.3,12564.7,9
6,SAT_024,"Cordoba, Argentina",35.66,1319.9,747.2,12564.7,9
6,SAT_176,"Cape Town, South Africa",32.84,1287.6,822.9,12564.7,9
6,SAT_129,"Zallaq, Bahrain",10.08,1027.9,1806.2,12564.7,9
6,SAT_012,"Ushuaia, Argentina",9.51,1021.5,1879.1,12564.7,9
7,SAT_100,"Dundee, Scotland",79.85,1824.2,103.8,13037.0,10
7,SAT_105,"Dublin, Ireland",76.59,1787.0,137.8,13037.0,10
7,SAT_025,"Cordoba, Argentina",60.14,1599.3,327.5,13037.0,10
7,SAT_167,"Pretoria, South Africa",33.2,1291.8,807.4,13037.0,10
7,SAT_148,"Mwulire, Rwanda",27.27,1224.1,967.6,13037.0,10
7,SAT_175,"Cape Town, South Africa",21.35,1156.5,1207.2,13037.0,10
7,SAT_129,"Zallaq, Bahrain",16.28,1098.7,1424.9,13037.0,10
7,SAT_012,"Ushuaia, Argentina",16.23,1098.1,1457.7,13037.0,10
7,SAT_068,"Pendergrass, USA",5.83,979.5,2144.8,13037.0,10
7,SAT_072,"Columbus, USA",5.69,977.8,2160.9,13037.0,10
8,SAT_025,"Cordoba, Argentina",78.99,1814.4,112.5,12694.6,10
8,SAT_106,"Stockholm, Sweden",58.8,1583.9,345.8,12694.6,10
8,SAT_100,"Dundee, Scotland",47.95,1460.1,506.6,12694.6,10
8,SAT_012,"Ushuaia, Argentina",25.96,1209.2,1038.2,12694.6,10
8,SAT_130,"Zallaq, Bahrain",25.12,1199.6,1041.8,12694.6,10
8,SAT_167,"Pretoria, South Africa",21.5,1158.3,1192.9,12694.6,10
8,SAT_148,"Mwulire, Rwanda",17.68,1114.7,1351.1,12694.6,10
8,SAT_175,"Cape Town, South Africa",13.72,1069.6,1594.4,12694.6,10
8,SAT_068,"Pendergrass, USA",11.48,1043.9,1713.8,12694.6,10
8,SAT_071,"Columbus, USA",11.21,1040.9,1733.8,12694.6,10
9,SAT_106,"Stockholm, Sweden",84.28,1874.7,58.1,15275.1,12
9,SAT_025,"Cordoba, Argentina",45.93,1437.1,540.0,15275.1,12
9,SAT_013,"Ushuaia, Argentina",41.91,1391.2,622.1,15275.1,12
9,SAT_130,"Zallaq, Bahrain",39.32,1361.6,657.6,15275.1,12
9,SAT_102,"Öjebyn, Sweden",35.76,1321.0,748.4,15275.1,12
9,SAT_016,"Punta Arenas, Chile",30.64,1262.7,887.8,15275.1,12
9,SAT_100,"Dundee, Scotland",29.58,1250.5,913.3,15275.1,12
9,SAT_068,"Pendergrass, USA",19.19,1131.9,1284.8,15275.1,12
9,SAT_071,"Columbus, USA",18.81,1127.6,1304.4,15275.1,12
9,SAT_166,"Pretoria, South Africa",13.91,1071.6,1572.6,15275.1,12
9,SAT_148,"Mwulire, Rwanda",11.08,1039.4,1734.8,15275.1,12
9,SAT_174,"Cape Town, South Africa",8.13,1005.7,1980.6,15275.1,12
10,SAT_105,"Öjebyn, Sweden",73.29,1749.3,174.0,15957.3,12
10,SAT_013,"Ushuaia, Argentina",71.05,1723.8,201.0,15957.3,12
10,SAT_130,"Zallaq, Bahrain",63.52,1637.8,281.8,15957.3,12
10,SAT_015,"Punta Arenas, Chile",54.7,1537.2,407.0,15957.3,12
10,SAT_108,"Stockholm, Sweden",45.35,1430.5,550.8,15957.3,12
10,SAT_067,"Pendergrass, USA",31.12,1268.1,856.5,15957.3,12
10,SAT_071,"Columbus, USA",30.46,1260.6,877.4,15957.3,12
10,SAT_025,"Cordoba, Argentina",27.63,1228.3,971.4,15957.3,12
10,SAT_097,"Dundee, Scotland",15.86,1093.9,1470.1,15957.3,12
10,SAT_140,"Dubai, UAE",10.97,1038.1,1741.4,15957.3,12
10,SAT_166,"Pretoria, South Africa",8.3,1007.7,1956.2,15957.3,12
10,SAT_148,"Mwulire, Rwanda",6.08,982.3,2118.5,15957.3,12
11,SAT_014,"Punta Arenas, Chile",82.76,1857.4,74.7,16040.5,11
11,SAT_105,"Sodankylä, Finland",81.31,1840.9,88.8,16040.5,11
11,SAT_131,"Zallaq, Bahrain",77.35,1795.6,128.0,16040.5,11
11,SAT_013,"Ushuaia, Argentina",68.89,1699.1,226.1,16040.5,11
11,SAT_067,"Pendergrass, USA",52.9,1516.6,423.2,16040.5,11
11,SAT_070,"Columbus, USA",50.73,1491.8,456.7,16040.5,11
11,SAT_134,"Dubai, UAE",42.99,1403.5,584.3,16040.5,11
11,SAT_100,"Öjebyn, Sweden",27.72,1229.3,972.3,16040.5,11
11,SAT_112,"Stockholm, Sweden",18.56,1124.8,1326.1,16040.5,11
11,SAT_026,"Cordoba, Argentina",17.11,1108.2,1398.8,16040.5,11
11,SAT_093,"Dundee, Scotland",5.29,973.3,2216.9,16040.5,11
12,SAT_067,"Pendergrass, USA",87.1,1906.9,29.1,12377.4,8
12,SAT_132,"Dubai, UAE",85.68,1890.7,43.1,12377.4,8
12,SAT_070,"Columbus, USA",85.59,1889.7,44.3,12377.4,8
12,SAT_105,"Sodankylä, Finland",61.37,1613.3,313.8,12377.4,8
12,SAT_014,"Punta Arenas, Chile",49.28,1475.3,491.4,12377.4,8
12,SAT_011,"Ushuaia, Argentina",35.52,1318.2,765.6,12377.4,8
12,SAT_127,"Zallaq, Bahrain",30.0,1255.3,888.2,12377.4,8
12,SAT_026,"Cordoba, Argentina",10.08,1027.9,1827.1,12377.4,8
13,SAT_132,"Dubai, UAE",54.24,1531.9,402.5,9334.8,7
13,SAT_070,"Columbus, USA",53.92,1528.3,409.5,9334.8,7
13,SAT_067,"Pendergrass, USA",51.41,1499.6,445.5,9334.8,7
13,SAT_105,"Sodankylä, Finland",37.2,1337.5,716.1,9334.8,7
13,SAT_015,"Punta Arenas, Chile",30.05,1255.9,909.1,9334.8,7
13,SAT_010,"Ushuaia, Argentina",20.86,1150.9,1244.0,9334.8,7
13,SAT_123,"Zallaq, Bahrain",10.33,1030.8,1797.0,9334.8,7
14,SAT_132,"Dubai, UAE",33.61,1296.5,788.1,8165.6,7
14,SAT_070,"Columbus, USA",31.81,1276.0,840.0,8165.6,7
14,SAT_066,"Pendergrass, USA",30.53,1261.3,873.1,8165.6,7
14,SAT_105,"Sodankylä, Finland",23.55,1181.7,1118.3,8165.6,7
14,SAT_015,"Punta Arenas, Chile",18.89,1128.5,1328.0,8165.6,7
14,SAT_009,"Ushuaia, Argentina",12.0,1049.8,1722.1,8165.6,7
14,SAT_089,"Deadhorse, USA",5.15,971.7,2229.4,8165.6,7
15,SAT_132,"Dubai, UAE",21.64,1159.9,1174.3,9542.3,9
15,SAT_070,"Columbus, USA",19.55,1136.1,1271.0,9542.3,9
15,SAT_066,"Pendergrass, USA",18.82,1127.7,1301.4,9542.3,9
15,SAT_106,"Sodankylä, Finland",15.03,1084.4,1515.7,9542.3,9
15,SAT_015,"Punta Arenas, Chile",11.48,1043.9,1748.8,9542.3,9
15,SAT_089,"Deadhorse, USA",10.34,1030.9,1814.2,9542.3,9
15,SAT_094,"Utqiagvik, USA",7.02,993.1,2069.9,9542.3,9
15,SAT_078,"Portland, USA",6.55,987.7,2097.6,9542.3,9
15,SAT_008,"Ushuaia, Argentina",5.76,978.7,2199.4,9542.3,9
16,SAT_089,"Deadhorse, USA",17.19,1109.1,1399.9,8428.4,8
16,SAT_067,"Mojave, USA",16.81,1104.7,1401.1,8428.4,8
16,SAT_073,"Portland, USA",15.63,1091.3,1469.5,8428.4,8
16,SAT_133,"Dubai, UAE",13.9,1071.5,1556.8,8428.4,8
16,SAT_093,"Utqiagvik, USA",13.34,1065.2,1617.4,8428.4,8
16,SAT_106,"Sodankylä, Finland",8.94,1014.9,1915.3,8428.4,8
16,SAT_081,"North Pole, USA",6.79,990.4,2080.6,8428.4,8
16,SAT_015,"Punta Arenas, Chile",5.98,981.2,2170.5,8428.4,8
17,SAT_067,"Mojave, USA",27.29,1224.3,971.4,6892.9,6
17,SAT_089,"Deadhorse, USA",27.24,1223.8,987.4,6892.9,6
17,SAT_073,"Portland, USA",25.31,1201.8,1042.5,6892.9,6
17,SAT_092,"Utqiagvik, USA",22.33,1167.8,1166.8,6892.9,6
17,SAT_082,"North Pole, USA",13.59,1068.0,1595.3,6892.9,6
17,SAT_133,"Dubai, UAE",8.26,1007.2,1939.9,6892.9,6
18,SAT_067,"Mojave, USA",45.09,1427.5,548.2,6778.1,5
18,SAT_088,"Deadhorse, USA",44.24,1417.8,572.0,6778.1,5
18,SAT_073,"Portland, USA",41.43,1385.7,619.3,6778.1,5
18,SAT_091,"Utqiagvik, USA",37.09,1336.1,718.7,6778.1,5
18,SAT_084,"North Pole, USA",26.11,1210.9,1022.2,6778.1,5
19,SAT_066,"Mojave, USA",78.03,1803.4,121.1,8362.0,5
19,SAT_088,"Deadhorse, USA",74.86,1767.2,156.9,8362.0,5
19,SAT_072,"Portland, USA",70.06,1712.4,207.4,8362.0,5
19,SAT_090,"Utqiagvik, USA",64.39,1647.7,276.2,8362.0,5
19,SAT_085,"North Pole, USA",45.42,1431.3,549.5,8362.0,5
20,SAT_086,"North Pole, USA",76.44,1785.3,139.6,9464.4,6
20,SAT_090,"Utqiagvik, USA",74.84,1767.0,156.9,9464.4,6
20,SAT_072,"Portland, USA",67.37,1681.8,237.7,9464.4,6
20,SAT_088,"Deadhorse, USA",65.34,1658.6,264.2,9464.4,6
20,SAT_066,"Mojave, USA",60.3,1601.0,321.7,9464.4,6
20,SAT_146,Singapore,5.06,970.7,2204.0,9464.4,6
21,SAT_085,"North Pole, USA",61.35,1613.0,312.5,7706.3,6
21,SAT_089,"Utqiagvik, USA",44.62,1422.1,563.6,7706.3,6
21,SAT_072,"Portland, USA",39.17,1360.0,663.3,7706.3,6
21,SAT_066,"Mojave, USA",34.99,1312.2,754.4,7706.3,6
21,SAT_146,Singapore,9.8,1024.8,1820.0,7706.3,6
21,SAT_168,"Mingenew, Australia",5.37,974.2,2201.9,7706.3,6
22,SAT_085,"North Pole, USA",36.65,1331.2,723.9,8985.9,8
22,SAT_089,"Utqiagvik, USA",27.53,1227.1,973.2,8985.9,8
22,SAT_072,"Portland, USA",23.82,1184.8,1092.6,8985.9,8
22,SAT_065,"Mojave, USA",21.3,1156.0,1187.4,8985.9,8
22,SAT_146,Singapore,15.94,1094.9,1436.1,8985.9,8
22,SAT_168,"Mingenew, Australia",10.18,1029.1,1816.4,8985.9,8
22,SAT_117,"Seoul, South Korea",6.72,989.6,2075.5,8985.9,8
22,SAT_001,"Awarua, New Zeland",5.28,973.2,2374.0,8985.9,8
23,SAT_146,Singapore,24.66,1194.4,1052.1,10821.5,10
23,SAT_085,"North Pole, USA",22.72,1172.3,1141.8,10821.5,10
23,SAT_090,"Utqiagvik, USA",17.13,1108.4,1395.4,10821.5,10
23,SAT_168,"Mingenew, Australia",16.41,1100.2,1431.9,10821.5,10
23,SAT_071,"Portland, USA",14.66,1080.2,1516.2,10821.5,10
23,SAT_065,"Mojave, USA",12.91,1060.3,1615.2,10821.5,10
23,SAT_117,"Seoul, South Korea",12.01,1050.0,1682.3,10821.5,10
23,SAT_199,"Awarua, New Zeland",10.24,1029.8,1836.8,10821.5,10
23,SAT_108,"Chitose, Japan",9.04,1016.1,1897.0,10821.5,10
23,SAT_033,"Tahiti, French Polynesia",8.49,1009.8,1928.7,10821.5,10
24,SAT_146,Singapore,38.58,1353.2,668.3,12100.6,11
24,SAT_167,"Mingenew, Australia",25.29,1201.6,1044.7,12100.6,11
24,SAT_117,"Seoul, South Korea",19.12,1131.1,1289.2,12100.6,11
24,SAT_200,"Awarua, New Zeland",16.93,1106.2,1424.6,12100.6,11
24,SAT_108,"Chitose, Japan",15.16,1086.0,1496.4,12100.6,11
24,SAT_033,"Tahiti, French Polynesia",15.02,1084.3,1496.3,12100.6,11
24,SAT_085,"North Pole, USA",14.04,1073.1,1561.1,12100.6,11
24,SAT_102,"Obihiro, Japan",10.83,1036.6,1768.3,12100.6,11
24,SAT_090,"Utqiagvik, USA",10.21,1029.4,1811.9,12100.6,11
24,SAT_071,"Portland, USA",8.27,1007.3,1942.1,12100.6,11
24,SAT_065,"Mojave, USA",6.91,991.8,2045.9,12100.6,11
25,SAT_146,Singapore,62.99,1631.8,285.7,12007.7,10
25,SAT_167,"Mingenew, Australia",39.58,1364.6,657.1,12007.7,10
25,SAT_117,"Seoul, South Korea",29.71,1251.9,896.8,12007.7,10
25,SAT_200,"Awarua, New Zeland",26.7,1217.6,1012.3,12007.7,10
25,SAT_034,"Tahiti, French Polynesia",24.62,1193.9,1060.1,12007.7,10
25,SAT_108,"Chitose, Japan",23.84,1185.0,1095.7,12007.7,10
25,SAT_103,"Obihiro, Japan",18.26,1121.3,1335.2,12007.7,10
25,SAT_065,"Paumalu, USA",12.07,1050.6,1666.4,12007.7,10
25,SAT_084,"North Pole, USA",7.92,1003.4,1977.9,12007.7,10
25,SAT_057,"Kapolei, USA",6.54,987.5,2071.0,12007.7,10
26,SAT_146,Singapore,79.11,1815.7,108.8,13499.1,10
26,SAT_167,"Mingenew, Australia",64.51,1649.1,271.5,13499.1,10
26,SAT_117,"Seoul, South Korea",47.43,1454.2,507.6,13499.1,10
26,SAT_200,"Awarua, New Zeland",42.92,1402.7,600.3,13499.1,10
26,SAT_034,"Tahiti, French Polynesia",40.89,1379.6,624.9,13499.1,10
26,SAT_108,"Chitose, Japan",37.73,1343.5,695.3,13499.1,10
26,SAT_104,"Obihiro, Japan",29.38,1248.2,910.0,13499.1,10
26,SAT_064,"Paumalu, USA",20.05,1141.7,1236.4,13499.1,10
26,SAT_058,"Kapolei, USA",13.29,1064.6,1584.9,13499.1,10
26,SAT_186,"Dubbo, Australia",7.61,999.8,2022.9,13499.1,10
27,SAT_118,"Seoul, South Korea",77.85,1801.3,122.7,15207.7,10
27,SAT_167,"Mingenew, Australia",76.87,1790.2,133.6,15207.7,10
27,SAT_200,"Awarua, New Zeland",71.58,1729.9,193.5,15207.7,10
27,SAT_034,"Tahiti, French Polynesia",70.65,1719.1,199.2,15207.7,10
27,SAT_108,"Chitose, Japan",62.29,1623.7,297.8,15207.7,10
27,SAT_106,"Obihiro, Japan",53.16,1519.6,420.0,15207.7,10
27,SAT_146,Singapore,48.33,1464.5,487.4,15207.7,10
27,SAT_064,"Paumalu, USA",32.8,1287.3,803.8,15207.7,10
27,SAT_060,"Kapolei, USA",25.86,1208.0,1008.5,15207.7,10
27,SAT_186,"Dubbo, Australia",13.24,1064.0,1621.7,15207.7,10
28,SAT_108,"Obihiro, Japan",83.53,1866.1,64.9,16769.1,11
28,SAT_001,"Awarua, New Zeland",81.32,1841.0,94.5,16769.1,11
28,SAT_109,"Chitose, Japan",77.72,1799.9,124.3,16769.1,11
28,SAT_035,"Tahiti, French Polynesia",66.05,1666.6,250.6,16769.1,11
28,SAT_118,"Seoul, South Korea",63.51,1637.8,281.0,16769.1,11
28,SAT_064,"Paumalu, USA",55.7,1548.5,379.2,16769.1,11
28,SAT_166,"Mingenew, Australia",47.64,1456.6,504.6,16769.1,11
28,SAT_061,"Kapolei, USA",45.86,1436.2,528.7,16769.1,11
28,SAT_146,Singapore,30.22,1257.8,871.1,16769.1,11
