Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
0,SAT_179,"Cape Town, South Africa",15.21,1086.5,1494.6,YES
1,SAT_179,"Cape Town, South Africa",23.56,1181.8,1110.6,YES
2,SAT_178,"Cape Town, South Africa",36.68,1331.5,724.0,YES
3,SAT_177,"Cape Town, South Africa",59.26,1589.2,339.7,YES
4,SAT_177,"Cape Town, South Africa",83.04,1860.6,70.9,YES
5,SAT_168,"Pretoria, South Africa",85.0,1882.9,50.5,YES
6,SAT_102,"Guildford Pole, UK",71.22,1725.7,196.0,YES
7,SAT_100,"Dundee, Scotland",79.85,1824.2,103.8,YES
8,SAT_025,"Cordoba, Argentina",78.99,1814.4,112.5,YES
9,SAT_106,"Stockholm, Sweden",84.28,1874.7,58.1,YES
10,SAT_105,"Öjebyn, Sweden",73.29,1749.3,174.0,YES
11,SAT_014,"Punta Arenas, Chile",82.76,1857.4,74.7,YES
12,SAT_067,"Pendergrass, USA",87.1,1906.9,29.1,YES
13,SAT_132,"Dubai, UAE",54.24,1531.9,402.5,YES
14,SAT_132,"Dubai, UAE",33.61,1296.5,788.1,YES
15,SAT_132,"Dubai, UAE",21.64,1159.9,1174.3,YES
16,SAT_089,"Deadhorse, USA",17.19,1109.1,1399.9,YES
17,SAT_067,"Mojave, USA",27.29,1224.3,971.4,YES
18,SAT_067,"Mojave, USA",45.09,1427.5,548.2,YES
19,SAT_066,"Mojave, USA",78.03,1803.4,121.1,YES
20,SAT_086,"North Pole, USA",76.44,1785.3,139.6,YES
21,SAT_085,"North Pole, USA",61.35,1613.0,312.5,YES
22,SAT_085,"North Pole, USA",36.65,1331.2,723.9,YES
23,SAT_146,Singapore,24.66,1194.4,1052.1,YES
24,SAT_146,Singapore,38.58,1353.2,668.3,YES
25,SAT_146,Singapore,62.99,1631.8,285.7,YES
26,SAT_146,Singapore,79.11,1815.7,108.8,YES
27,SAT_118,"Seoul, South Korea",77.85,1801.3,122.7,YES
28,SAT_108,"Obihiro, Japan",83.53,1866.1,64.9,YES
29,SAT_063,"Kapolei, USA",85.86,1892.8,40.9,YES
30,SAT_186,"Dubbo, Australia",53.56,1524.1,416.8,YES
31,SAT_186,"Dubbo, Australia",84.91,1881.9,51.3,YES
32,SAT_170,"Alice Springs, Australia",66.3,1669.6,248.2,YES
33,SAT_169,"Alice Springs, Australia",40.61,1376.4,628.1,YES
34,SAT_123,"Harmon, Guam",42.75,1400.9,582.1,YES
35,SAT_124,"Harmon, Guam",70.12,1713.1,202.5,YES
36,SAT_126,"Harmon, Guam",72.44,1739.6,177.2,YES
37,SAT_128,"Harmon, Guam",44.47,1420.4,548.5,YES
38,SAT_130,"Harmon, Guam",28.6,1239.3,911.8,YES
39,SAT_133,"Harmon, Guam",19.04,1130.2,1266.6,YES
40,SAT_136,"Harmon, Guam",12.62,1056.9,1610.1,YES
