Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
0,SAT_179,"Cape Town, South Africa",15.21,164.1,1494.6,YES
1,SAT_179,"Cape Town, South Africa",23.56,257.4,1110.6,YES
2,SAT_178,"Cape Town, South Africa",36.68,404.0,724.0,YES
3,SAT_177,"Cape Town, South Africa",59.26,656.4,339.7,YES
4,SAT_177,"Cape Town, South Africa",83.04,922.2,70.9,YES
5,SAT_168,"Pretoria, South Africa",85.0,944.1,50.5,YES
6,SAT_102,"Guildford Pole, UK",71.22,790.1,196.0,YES
7,SAT_100,"Dundee, Scotland",79.85,886.6,103.8,YES
8,SAT_025,"Cordoba, Argentina",78.99,877.0,112.5,YES
9,SAT_106,"Stockholm, Sweden",84.28,936.1,58.1,YES
10,SAT_105,"Öjebyn, Sweden",73.29,813.2,174.0,YES
11,SAT_014,"Punta Arenas, Chile",82.76,919.1,74.7,YES
12,SAT_067,"Pendergrass, USA",87.1,967.5,29.1,YES
13,SAT_132,"Dubai, UAE",54.24,600.3,402.5,YES
14,SAT_132,"Dubai, UAE",33.61,369.8,788.1,YES
15,SAT_132,"Dubai, UAE",21.64,235.9,1174.3,YES
16,SAT_089,"Deadhorse, USA",17.19,186.3,1399.9,YES
17,SAT_067,"Mojave, USA",27.29,299.1,971.4,YES
18,SAT_067,"Mojave, USA",45.09,498.1,548.2,YES
19,SAT_066,"Mojave, USA",78.03,866.2,121.1,YES
20,SAT_086,"North Pole, USA",76.44,848.5,139.6,YES
21,SAT_085,"North Pole, USA",61.35,679.8,312.5,YES
22,SAT_085,"North Pole, USA",36.65,403.7,723.9,YES
23,SAT_146,Singapore,24.66,269.7,1052.1,YES
24,SAT_146,Singapore,38.58,425.3,668.3,YES
25,SAT_146,Singapore,62.99,698.2,285.7,YES
26,SAT_146,Singapore,79.11,878.3,108.8,YES
27,SAT_118,"Seoul, South Korea",77.85,864.2,122.7,YES
28,SAT_108,"Obihiro, Japan",83.53,927.7,64.9,YES
29,SAT_063,"Kapolei, USA",85.86,953.7,40.9,YES
30,SAT_186,"Dubbo, Australia",53.56,592.7,416.8,YES
31,SAT_186,"Dubbo, Australia",84.91,943.1,51.3,YES
32,SAT_170,"Alice Springs, Australia",66.3,735.1,248.2,YES
33,SAT_169,"Alice Springs, Australia",40.61,448.0,628.1,YES
34,SAT_123,"Harmon, Guam",42.75,472.0,582.1,YES
35,SAT_124,"Harmon, Guam",70.12,777.8,202.5,YES
36,SAT_126,"Harmon, Guam",72.44,803.7,177.2,YES
37,SAT_128,"Harmon, Guam",44.47,491.1,548.5,YES
38,SAT_130,"Harmon, Guam",28.6,313.7,911.8,YES
39,SAT_133,"Harmon, Guam",19.04,206.9,1266.6,YES
40,SAT_136,"Harmon, Guam",12.62,135.1,1610.1,YES
41,SAT_005,"Harmon, Guam",10.67,113.4,1745.9,YES
42,SAT_009,"Harmon, Guam",17.12,185.4,1362.5,YES
43,SAT_012,"Harmon, Guam",26.77,293.3,969.2,YES
44,SAT_014,"Harmon, Guam",43.35,478.6,567.1,YES
45,SAT_016,"Harmon, Guam",74.09,822.2,158.7,YES
46,SAT_018,"Harmon, Guam",65.1,721.7,256.8,YES
47,SAT_019,"Harmon, Guam",37.7,415.4,676.5,YES
48,SAT_091,"Dubbo, Australia",55.82,618.0,377.2,YES
49,SAT_091,"Dubbo, Australia",83.42,926.4,65.4,YES
50,SAT_075,"Alice Springs, Australia",55.91,619.0,373.7,YES
51,SAT_003,"Obihiro, Japan",55.71,616.8,375.1,YES
52,SAT_004,"Chitose, Japan",85.71,952.1,42.1,YES
53,SAT_103,"Awarua, New Zeland",86.04,955.7,39.5,YES
54,SAT_070,"Mingenew, Australia",70.98,787.4,192.8,YES
55,SAT_046,Singapore,83.6,928.5,62.0,YES
56,SAT_134,"Tahiti, French Polynesia",60.34,668.5,312.8,YES
57,SAT_135,"Tahiti, French Polynesia",80.38,892.5,94.2,YES
58,SAT_135,"Tahiti, French Polynesia",49.22,544.3,465.7,YES
59,SAT_185,"North Pole, USA",31.91,350.8,821.6,YES
60,SAT_185,"North Pole, USA",52.22,577.8,426.0,YES
61,SAT_189,"Utqiagvik, USA",80.49,893.7,94.6,YES
62,SAT_187,"Deadhorse, USA",74.56,827.4,155.5,YES
63,SAT_172,"Portland, USA",55.84,618.2,371.8,YES
64,SAT_172,"Portland, USA",87.6,973.2,23.4,YES
65,SAT_166,"Mojave, USA",86.31,958.7,35.9,YES
66,SAT_166,"Mojave, USA",56.96,630.7,355.6,YES
67,SAT_033,"Dubai, UAE",83.39,926.1,64.2,YES
68,SAT_032,"Zallaq, Bahrain",86.53,961.3,33.6,YES
69,SAT_008,"Öjebyn, Sweden",72.1,799.9,181.8,YES
70,SAT_010,"Stockholm, Sweden",87.59,973.1,23.7,YES
71,SAT_112,"Punta Arenas, Chile",60.75,673.1,317.1,YES
72,SAT_110,"Ushuaia, Argentina",85.82,953.3,42.0,YES
73,SAT_063,"Pretoria, South Africa",85.35,948.0,45.8,YES
74,SAT_069,"Cape Town, South Africa",85.87,953.9,40.8,YES
75,SAT_069,"Cape Town, South Africa",52.13,576.8,429.3,YES
76,SAT_121,"Cordoba, Argentina",51.58,570.6,438.7,YES
77,SAT_121,"Cordoba, Argentina",85.37,948.3,45.9,YES
78,SAT_121,"Cordoba, Argentina",58.03,642.6,348.4,YES
79,SAT_122,"Cordoba, Argentina",35.44,390.2,738.2,YES
80,SAT_041,"Accra, Ghana",48.17,532.4,484.2,YES
81,SAT_041,"Accra, Ghana",85.41,948.7,44.9,YES
82,SAT_041,"Accra, Ghana",54.04,598.1,397.5,YES
83,SAT_042,"Accra, Ghana",31.28,343.7,835.2,YES
84,SAT_042,"Accra, Ghana",18.95,205.9,1273.5,YES
85,SAT_042,"Accra, Ghana",11.13,118.5,1712.9,YES
86,SAT_043,"Accra, Ghana",5.49,55.5,2150.7,YES
94,SAT_135,"Accra, Ghana",5.69,57.8,2143.5,YES
95,SAT_138,"Accra, Ghana",10.45,110.9,1771.2,YES
96,SAT_139,"Accra, Ghana",16.76,181.5,1392.1,YES
97,SAT_140,"Accra, Ghana",25.85,283.0,1011.0,YES
98,SAT_140,"Accra, Ghana",40.53,447.1,629.1,YES
